pmid,year
1720857,1991
1720856,1991
1684009,1991
1683999,1991
1683984,1991
1683983,1991
1683982,1991
1683981,1991
1683980,1991
1683974,1991
1683973,1991
1683972,1991
1683971,1991
1683970,1991
1683969,1991
1720853,1991
1683967,1991
1683944,1991
1683938,1991
1683932,1991
1683931,1991
1683930,1991
1683929,1991
1683928,1991
1683927,1991
1683922,1991
1683921,1991
1683920,1991
1683919,1991
1683918,1991
1683917,1991
1683916,1991
1683464,1991
1683458,1991
1683456,1991
1683442,1991
1683441,1991
1683438,1991
1683431,1991
1683430,1991
1683429,1991
1683428,1991
1683422,1991
1683421,1991
1683420,1991
1683419,1991
1683418,1991
1683417,1991
1682748,1991
1682747,1991
1682746,1991
1682745,1991
1682739,1991
1682738,1991
1682737,1991
1682736,1991
1682735,1991
1682734,1991
1682645,1991
1719321,1991
1682726,1991
1682723,1991
1682697,1991
1682696,1991
1682695,1991
1682694,1991
1682693,1991
1682687,1991
1682686,1991
1682685,1991
1682684,1991
1682683,1991
1719320,1991
1682680,1991
1682672,1991
1682671,1991
1682655,1991
1682654,1991
1682653,1991
1682652,1991
1682647,1991
1682646,1991
1682644,1991
1682643,1991
1682642,1991
1682603,1991
1682602,1991
1682601,1991
1682600,1991
1682595,1991
1682594,1991
1682593,1991
1682592,1991
1682591,1991
1682590,1991
1682589,1991
1719315,1991
1682558,1991
1682553,1991
1682552,1991
1682551,1991
1682550,1991
1682545,1991
1682544,1991
1682543,1991
1682542,1991
1682541,1991
1681391,1991
1681388,1991
1681367,1991
1681366,1991
1681365,1991
1681364,1991
1681358,1991
1681357,1991
1681356,1991
1681355,1991
1681354,1991
1681353,1991
1681352,1991
1681351,1991
1681350,1991
1681344,1991
1681343,1991
1681342,1991
1681341,1991
1681340,1991
1681339,1991
1681329,1991
1681319,1991
1681315,1991
1681303,1991
1681280,1991
1681278,1991
1681277,1991
1681276,1991
1681275,1991
1681269,1991
1681268,1991
1681267,1991
1681266,1991
1681265,1991
1681264,1991
1681172,1991
1681260,1991
1681236,1991
1681226,1991
1681225,1991
1681224,1991
1681223,1991
1681217,1991
1681216,1991
1681215,1991
1681214,1991
1681213,1991
1681212,1991
1681208,1991
1681185,1991
1681178,1991
1681171,1991
1681170,1991
1681169,1991
1681168,1991
1681163,1991
1681162,1991
1681161,1991
1681160,1991
1681159,1991
1681158,1991
1679889,1991
1679880,1991
1679879,1991
1679878,1991
1679877,1991
1679876,1991
1679870,1991
1679869,1991
1679868,1991
1679867,1991
1679866,1991
1679865,1991
1679864,1991
1715962,1991
1679513,1991
1679509,1991
1679492,1991
1679490,1991
1679487,1991
1679486,1991
1679484,1991
1679483,1991
1679482,1991
1679476,1991
1679475,1991
1679474,1991
1679473,1991
1679472,1991
1679471,1991
1715503,1991
1715501,1991
1679164,1991
1679163,1991
1679162,1991
1679161,1991
1679160,1991
1679159,1991
1679155,1991
1679154,1991
1679153,1991
1679152,1991
1678844,1991
1678836,1991
1678825,1991
1678818,1991
1678814,1991
1678812,1991
1678811,1991
1678810,1991
1678809,1991
1678803,1991
1678802,1991
1678801,1991
1678800,1991
1678799,1991
1678798,1991
1678797,1991
1714532,1991
1714530,1991
1714529,1991
1678460,1991
1678456,1991
1678455,1991
1678454,1991
1678453,1991
1678446,1991
1678445,1991
1678444,1991
1678443,1991
1678095,1991
1678094,1991
1678093,1991
1678092,1991
1678085,1991
1678084,1991
1678083,1991
1678082,1991
1678081,1991
1678080,1991
1713639,1991
1677710,1991
1677709,1991
1677708,1991
1677702,1991
1677701,1991
1677700,1991
1677699,1991
1677698,1991
1677697,1991
1677696,1991
1677695,1991
1677150,1991
1677144,1991
1677134,1991
1677127,1991
1677124,1991
1677122,1991
1677121,1991
1677120,1991
1677119,1991
1677113,1991
1677112,1991
1677111,1991
1677110,1991
1677109,1991
1677108,1991
1712418,1991
1676821,1991
1676808,1991
1676789,1991
1676788,1991
1676787,1991
1676786,1991
1676780,1991
1676779,1991
1676778,1991
1676777,1991
1676776,1991
1676467,1991
1712881,1991
1677101,1991
1677099,1991
1677076,1991
1677075,1991
1677074,1991
1677068,1991
1677067,1991
1677066,1991
1677065,1991
1677064,1991
1677063,1991
1677062,1991
1712062,1991
1676480,1991
1676479,1991
1676478,1991
1676477,1991
1676471,1991
1676470,1991
1676469,1991
1676468,1991
1676461,1991
1676442,1991
1676439,1991
1676436,1991
1676434,1991
1711644,1991
1676131,1991
1676119,1991
1676117,1991
1676095,1991
1676094,1991
1676093,1991
1676092,1991
1676091,1991
1676085,1991
1676084,1991
1676083,1991
1675379,1991
1675746,1991
1675743,1991
1675733,1991
1675721,1991
1675720,1991
1675719,1991
1675718,1991
1675717,1991
1675710,1991
1675709,1991
1675708,1991
1675707,1991
1675706,1991
1675705,1991
1675403,1991
1675400,1991
1675397,1991
1675380,1991
1675378,1991
1675377,1991
1675372,1991
1675371,1991
1675370,1991
1675369,1991
1675368,1991
1675367,1991
1710750,1991
1675359,1991
1675336,1991
1675332,1991
1675331,1991
1675330,1991
1675329,1991
1675328,1991
1675321,1991
1675320,1991
1675319,1991
1675318,1991
1675317,1991
1675316,1991
1675315,1991
1674807,1991
1674801,1991
1674786,1991
1674773,1991
1674772,1991
1674771,1991
1674766,1991
1674765,1991
1674764,1991
1674763,1991
1674762,1991
1674761,1991
1674320,1991
1674319,1991
1674309,1991
1674308,1991
1674307,1991
1674306,1991
1674305,1991
1674304,1991
1674299,1991
1674298,1991
1674297,1991
1674296,1991
1674295,1991
1674294,1991
1674091,1991
1674074,1991
1674073,1991
